fold,val_rmse,val_loss,epochs
1,0.913385026059449,0.08342721462249755,167
2,0.9826698066211812,0.09656398296356201,200
3,0.9007414756919986,0.08113351464271545,165
4,0.9075393712354342,0.08236277103424072,200
5,0.8988714745656249,0.08079699277877808,200
